Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,SummaryQuote
XXII,"22nd Century Group, Inc",2.15,$267.46M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/xxii
FAX,Aberdeen Asia-Pacific Income Fund Inc,3.88,$977.49M,1986,n/a,n/a,https://www.nasdaq.com/symbol/fax
IAF,Aberdeen Australia Equity Fund Inc,4.73,$107.57M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/iaf
AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc.",6.43,$389.01M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aef
FCO,"Aberdeen Global Income Fund, Inc.",6.82,$59.5M,1992,n/a,n/a,https://www.nasdaq.com/symbol/fco
ACU,Acme United Corporation.,14.2156,$47.89M,1988,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acu
ATNM,"Actinium Pharmaceuticals, Inc.",0.39,$45.12M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/atnm
AE,"Adams Resources & Energy, Inc.",40.13,$169.25M,n/a,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/ae
ACY,AeroCentury Corp.,11.02,$17.04M,n/a,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/acy
UAVS,"AgEagle Aerial Systems, Inc.",0.532,$6.17M,n/a,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/uavs
AGE,"AgeX Therapeutics, Inc.",2.75,n/a,2018,n/a,n/a,https://www.nasdaq.com/symbol/age
AIRI,Air Industries Group,0.7801,$21.64M,n/a,Capital Goods,Military/Government/Technical,https://www.nasdaq.com/symbol/airi
AXU,Alexco Resource Corp,0.816,$88.13M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/axu
ALO,Alio Gold Inc.,0.7445,$63.06M,2011,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/alo
AAU,"Almaden Minerals, Ltd.",0.586,$65.42M,2015,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/aau
APT,"Alpha Pro Tech, Ltd.",3.86,$52.61M,n/a,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/apt
AAMC,Altisource Asset Management Corp,30.04,$49.06M,n/a,Finance,Real Estate,https://www.nasdaq.com/symbol/aamc
AMBO,Ambow Education Holding Ltd.,5.7,$122.96M,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/ambo
DIT,AMCON Distributing Company,84.9,$52.41M,n/a,Consumer Non-Durables,Food Distributors,https://www.nasdaq.com/symbol/dit
AMS,American Shared Hospital Services,2.39,$13.66M,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/ams
USAS,Americas Silver Corporation,1.33,$57.32M,2017,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/usas
AMPE,"Ampio Pharmaceuticals, Inc.",0.4297,$45.86M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ampe
APHB,AmpliPhi Biosciences Corporation,0.235,$7.59M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/aphb
ARNC^,Arconic Inc.,88.5,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/arnc^
AKG,Asanko Gold Inc.,0.5842,$131.92M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/akg
AINC,Ashford Inc.,52.5,$125.51M,2014,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/ainc
AST,"Asterias Biotherapeutics, Inc.",0.6,$33.4M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/ast
AUG,Auryn Resources Inc.,0.915,$82.7M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/aug
AWX,Avalon Holdings Corporation,2.59,$9.85M,n/a,Public Utilities,Environmental Services,https://www.nasdaq.com/symbol/awx
ASM,Avino Silver,0.5065,$32.08M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/asm
BTG,B2Gold Corp,2.78,$2.75B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/btg
BTN,"Ballantyne Strong, Inc",1.57,$22.68M,n/a,Miscellaneous,Industrial Machinery/Components,https://www.nasdaq.com/symbol/btn
BKJ,"Bancorp of New Jersey, Inc",12.86,$93.82M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/bkj
BCV,Bancroft Fund Limited,17.57,$92.76M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bcv
BCV^A,Bancroft Fund Limited,24.35,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bcv^a
BHB,"Bar Harbor Bankshares, Inc.",22.57,$350.06M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/bhb
BRN,"Barnwell Industries, Inc.",1.3,$10.76M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/brn
BGSF,BG Staffing Inc,19.56,$198.69M,n/a,Technology,Professional Services,https://www.nasdaq.com/symbol/bgsf
BPMX,BioPharmX Corporation,0.0857,$18.24M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/bpmx
BTX,"BioTime, Inc.",0.86,$109.12M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/btx
BGI,Birks Group Inc.,1.05,$18.86M,n/a,Consumer Services,Consumer Specialties,https://www.nasdaq.com/symbol/bgi
BKTI,"BK Technologies, Inc.",3.25,$43.42M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/bkti
BDR,"Blonder Tongue Laboratories, Inc.",1.17,$10.86M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/bdr
BRG,"Bluerock Residential Growth REIT, Inc.",9.81,$233.31M,2014,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/brg
BRG^A,"Bluerock Residential Growth REIT, Inc.",24.8369,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/brg^a
BRG^C,"Bluerock Residential Growth REIT, Inc.",24.2616,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/brg^c
BRG^D,"Bluerock Residential Growth REIT, Inc.",21.4,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/brg^d
BVX,Bovie Medical Corporation,5.15,$171M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/bvx
BWL.A,"Bowl America, Inc.",n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bwl.a
CMCL,Caledonia Mining Corporation Plc,5.6,$59.38M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/cmcl
CEI,"Camber Energy, Inc.",0.0864,$12.28M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/cei
CANF,Can-Fite Biopharma Ltd,1.12,$22.6M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/canf
ROX,"Castle Brands, Inc.",0.7871,$132.78M,2006,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/rox
CAW,"CCA Industries, Inc.",2.24,$16.7M,n/a,Consumer Non-Durables,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/caw
CVM,Cel-Sci Corporation,2.84,$80.29M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/cvm
CET,Central Securities Corporation,24.356,$604.3M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cet
LEU,Centrus Energy Corp.,1.51,$13.65M,2014,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/leu
CHAC.U,Chardan Healthcare Acquisition Corp.,n/a,n/a,2018,n/a,n/a,https://www.nasdaq.com/symbol/chac.u
CCF,Chase Corporation,93.48,$878.91M,n/a,Consumer Durables,Building Products,https://www.nasdaq.com/symbol/ccf
CQP,"Cheniere Energy Partners, LP",37.67,$18.23B,2007,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/cqp
LNG,"Cheniere Energy, Inc.",57.11,$14.67B,n/a,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/lng
CVR,Chicago Rivet & Machine Co.,33.3985,$32.27M,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/cvr
CPHI,"China Pharma Holdings, Inc.",0.213,$9.28M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cphi
CKX,"CKX Lands, Inc.",10.35,$20.1M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ckx
GLV,Clough Global Dividend and Income Fund,9.68,$67.82M,2004,n/a,n/a,https://www.nasdaq.com/symbol/glv
GLQ,Clough Global Equity Fund,10.01,$110.37M,2005,n/a,n/a,https://www.nasdaq.com/symbol/glq
GLO,Clough Global Opportunities Fund,7.86,$253.28M,2006,n/a,n/a,https://www.nasdaq.com/symbol/glo
COHN,Cohen & Company Inc.,8.44,$10.26M,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/cohn
MOC,Command Security Corporation,2.81,$28.48M,n/a,Consumer Services,Diversified Commercial Services,https://www.nasdaq.com/symbol/moc
CIX,CompX International Inc.,13.11,$163.03M,1998,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/cix
LODE,"Comstock Mining, Inc.",0.1351,$9.57M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/lode
CDOR,"Condor Hospitality Trust, Inc.",8.25,$98.07M,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/cdor
CTO,Consolidated-Tomoka Land Co.,50.08,$276.27M,n/a,Finance,Real Estate,https://www.nasdaq.com/symbol/cto
MCF,Contango Oil & Gas Company,3.07,$104.87M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/mcf
CUO,Continental Materials Corporation,11.96,$20.31M,n/a,Capital Goods,Building Materials,https://www.nasdaq.com/symbol/cuo
CMT,Core Molding Technologies Inc,7,$56.69M,n/a,Consumer Non-Durables,Plastic Products,https://www.nasdaq.com/symbol/cmt
CVRS,"Corindus Vascular Robotics, Inc.",0.819,$156.69M,2015,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/cvrs
CRMD,CorMedix Inc,1.14,$120.05M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/crmd
CRF,"Cornerstone Strategic Return Fund, Inc. (The)",9.63,$217.95M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/crf
CLM,"Cornerstone Strategic Value Fund, Inc.",9.77,$436.45M,1987,n/a,n/a,https://www.nasdaq.com/symbol/clm
CVU,"CPI Aerostructures, Inc.",6.05,$70.95M,n/a,Capital Goods,Military/Government/Technical,https://www.nasdaq.com/symbol/cvu
CIK,"Credit Suisse Asset Management Income Fund, Inc.",2.68,$140.18M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cik
DHY,Credit Suisse High Yield Bond Fund,2.04,$211.06M,1998,n/a,n/a,https://www.nasdaq.com/symbol/dhy
CRHM,CRH Medical Corporation,2.98,$216.19M,2015,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/crhm
CTEK,"CynergisTek, Inc.",4.76,$45.77M,2017,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/ctek
DXR,Daxor Corporation,7.93,$29.57M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/dxr
VCF,"Delaware Investments Colorado Municipal Income Fund, Inc",12.71,$61.48M,1993,n/a,n/a,https://www.nasdaq.com/symbol/vcf
VFL,Delaware Investments Florida Insured Municipal Income Fund,11.73,$53.12M,1993,n/a,n/a,https://www.nasdaq.com/symbol/vfl
VMM,"Delaware Investments Minnesota Municipal Income Fund II, Inc.",11.72,$134.84M,1993,n/a,n/a,https://www.nasdaq.com/symbol/vmm
DLA,"Delta Apparel, Inc.",18.03,$123.66M,n/a,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/dla
DNN,Denison Mine Corp,0.453,$266.9M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/dnn
DGSE,"DGSE Companies, Inc.",0.3799,$10.23M,n/a,Consumer Services,Consumer Specialties,https://www.nasdaq.com/symbol/dgse
DSS,"Document Security Systems, Inc.",0.746,$12.54M,n/a,Consumer Durables,Containers/Packaging,https://www.nasdaq.com/symbol/dss
DPW,"DPW Holdings, Inc.",0.094,$7.05M,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/dpw
DMF,"Dreyfus Municipal Income, Inc.",7.57,$157.05M,1988,n/a,n/a,https://www.nasdaq.com/symbol/dmf
DXF,Dunxin Financial Holdings Limited,2.6506,$55.22M,n/a,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/dxf
GRF,"Eagle Capital Growth Fund, Inc.",7.3579,$27.43M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/grf
EVM,Eaton Vance California Municipal Bond Fund,9.79,$209.45M,2002,n/a,n/a,https://www.nasdaq.com/symbol/evm
CEV,Eaton Vance California Municipal Income Trust,10.89,$77.68M,1999,n/a,n/a,https://www.nasdaq.com/symbol/cev
EVV,Eaton Vance Limited Duration Income Fund,11.47,$1.33B,2003,n/a,n/a,https://www.nasdaq.com/symbol/evv
MMV,Eaton Vance Massachusetts Municipal Income Trust,12.1999,$33.39M,1999,n/a,n/a,https://www.nasdaq.com/symbol/mmv
EIM,Eaton Vance Municipal Bond Fund,11.16,$760.76M,2002,n/a,n/a,https://www.nasdaq.com/symbol/eim
EIV,Eaton Vance Municipal Bond Fund II,10.97,$109.85M,2002,n/a,n/a,https://www.nasdaq.com/symbol/eiv
EMJ,Eaton Vance New Jersey Municipal Bond Fund,11.62,$29.97M,2002,n/a,n/a,https://www.nasdaq.com/symbol/emj
EVJ,Eaton Vance New Jersey Municipal Income Trust,11.09,$50.99M,1999,n/a,n/a,https://www.nasdaq.com/symbol/evj
ENX,Eaton Vance New York Municipal Bond Fund,11.08,$173.53M,2002,n/a,n/a,https://www.nasdaq.com/symbol/enx
EVY,Eaton Vance New York Municipal Income Trust,11.41,$62.48M,1999,n/a,n/a,https://www.nasdaq.com/symbol/evy
EIO,Eaton Vance Ohio Municipal Bond Fund,11.23,$28.5M,2002,n/a,n/a,https://www.nasdaq.com/symbol/eio
EVO,Eaton Vance Ohio Municipal Income Trust,12.03,$34.37M,1999,n/a,n/a,https://www.nasdaq.com/symbol/evo
EIP,Eaton Vance Pennsylvania Municipal Bond Fund,11.45,$33.89M,2002,n/a,n/a,https://www.nasdaq.com/symbol/eip
EVP,Eaton Vance Pennsylvania Municipal Income Trust,11.03,$28.69M,1999,n/a,n/a,https://www.nasdaq.com/symbol/evp
ELMD,"Electromed, Inc.",5.05,$42.19M,2011,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/elmd
ELLO,Ellomay Capital Ltd.,7.94,$84.76M,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/ello
ECF,Ellsworth Growth and Income Fund Ltd.,8.01,$103.61M,1986,n/a,n/a,https://www.nasdaq.com/symbol/ecf
ECF^A,Ellsworth Growth and Income Fund Ltd.,22.95,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ecf^a
EMAN,eMagin Corporation,0.9821,$44.35M,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/eman
MSN,Emerson Radio Corporation,1.49,$31.98M,n/a,Consumer Non-Durables,Consumer Electronics/Appliances,https://www.nasdaq.com/symbol/msn
EMX,EMX Royalty Corporation,1.06,$85.33M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/emx
UUUU,Energy Fuels Inc,2.75,$246.26M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/uuuu
UUUU.WS,Energy Fuels Inc,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/uuuu.ws
ENSV,ENSERVCO Corporation,0.3775,$20.52M,n/a,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/ensv
ESNC,"EnSync, Inc.",0.18,$12.26M,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/esnc
EGI,Entree Resources Ltd.,0.3952,$68.95M,2017,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/egi
EVI,"EnviroStarm, Inc.",38.08,$434.77M,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/evi
ESP,Espey Mfg. & Electronics Corp.,25.5,$61.11M,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/esp
EVBN,"Evans Bancorp, Inc.",32.51,$157.05M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/evbn
EPM,"Evolution Petroleum Corporation, Inc.",6.52,$216.19M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/epm
FEN,First Trust Energy Income and Growth Fund,18.23,$364.32M,2004,n/a,n/a,https://www.nasdaq.com/symbol/fen
BDL,"Flanigan&#39;s Enterprises, Inc.",25.49,$47.38M,n/a,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/bdl
FSI,Flexible Solutions International Inc.,1.34,$15.59M,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/fsi
FTF,Franklin Limited Duration Income Trust,8.73,$197.33M,2003,n/a,n/a,https://www.nasdaq.com/symbol/ftf
FSP,Franklin Street Properties Corp.,6.37,$683.06M,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/fsp
FRD,Friedman Industries Inc.,6.57,$46.05M,n/a,Capital Goods,Steel/Iron Ore,https://www.nasdaq.com/symbol/frd
FTNW,"FTE Networks, Inc.",2.58,$46.56M,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/ftnw
GGN,"GAMCO Global Gold, Natural Reources & Income Trust ",3.56,$483.01M,2005,n/a,n/a,https://www.nasdaq.com/symbol/ggn
GGN^B,"GAMCO Global Gold, Natural Reources & Income Trust ",21.4,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ggn^b
JOB,GEE Group Inc.,0.95,$10.27M,n/a,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/job
GMO,"General Moly, Inc",0.203,$24.42M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/gmo
GSB,"GlobalSCAPE, Inc.",4.49,$80.68M,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/gsb
GSAT,"Globalstar, Inc.",0.4664,$590.46M,2006,Consumer Services,Telecommunications Equipment,https://www.nasdaq.com/symbol/gsat
GLOW,"Glowpoint, Inc.",0.121,$6.03M,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/glow
GORO,Gold Resource Corporation,3.79,$218.75M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/goro
GSV,Gold Standard Ventures Corporation,1.14,$296.18M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/gsv
AUMN,Golden Minerals Company,0.2,$19.12M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/aumn
GSS,"Golden Star Resources, Ltd",2.77,$301.4M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/gss
GV,Goldfield Corporation (The),2.03,$51.67M,n/a,Basic Industries,Water Supply,https://www.nasdaq.com/symbol/gv
GDP,Goodrich Petroleum Corporation,13.62,$162.02M,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/gdp
GTE,Gran Tierra Energy Inc.,2.08,$813.99M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/gte
GPL,Great Panther Silver Limited,0.56,$94.73M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/gpl
SIM,"Grupo Simec, S.A. de C.V.",9.59,$1.59B,1993,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/sim
HEB,"Hemispherx BioPharma, Inc.",0.2298,$11.07M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/heb
HLM^,Hillman Group Capital Trust,30.19,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/hlm^
HMG,"HMG/Courtland Properties, Inc.",14.33,$14.52M,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/hmg
HUSA,Houston American Energy Corporation,0.175,$10.89M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/husa
IBIO,"iBio, Inc.",0.57,$10.65M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ibio
IBO,IBO (Listing Market - NYSE Amex Network B F),24.84,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ibo
IEC,IEC Electronics Corp.,5.6,$57.43M,n/a,Technology,Electrical Products,https://www.nasdaq.com/symbol/iec
IMH,"Impac Mortgage Holdings, Inc.",3.74,$78.98M,1997,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/imh
IMO,Imperial Oil Limited,25.46,$20.09B,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/imo
