Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,SummaryQuote
IOR,"Income Opportunity Realty Investors, Inc.",12.0094,$50.06M,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/ior
INFU,"InfuSystems Holdings, Inc.",3.58,$69.96M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/infu
IHT,InnSuites Hospitality Trust,1.55,$14.63M,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/iht
NSPR,InspireMD Inc.,0.1395,$5.25M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/nspr
NSPR.WS,InspireMD Inc.,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nspr.ws
NSPR.WS.B,InspireMD Inc.,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nspr.ws.b
IDN,"Intellicheck, Inc.",2.06,$32.22M,1999,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/idn
INS,Intelligent Systems Corporation,11.82,$104.23M,1992,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ins
THM,International Tower Hill Mines Ltd,0.4708,$88.04M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/thm
INTT,inTest Corporation,5.55,$58.22M,1997,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/intt
INUV,"Inuvo, Inc",1.02,$34.76M,n/a,Consumer Services,Advertising,https://www.nasdaq.com/symbol/inuv
VKI,Invesco Advantage Municipal Income Trust II,10.01,$444.36M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vki
ISR,"IsoRay, Inc.",0.31,$20.87M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/isr
ISDR,Issuer Direct Corporation,10,$38.3M,n/a,Miscellaneous,Publishing,https://www.nasdaq.com/symbol/isdr
ITP,"IT Tech Packaging, Inc.",0.66,$14.51M,n/a,Consumer Durables,Containers/Packaging,https://www.nasdaq.com/symbol/itp
KIQ,Kelso Technologies Inc,0.4487,$21.17M,n/a,Capital Goods,Railroads,https://www.nasdaq.com/symbol/kiq
LTS,Ladenburg Thalmann Financial Services Inc,2.36,$468.35M,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/lts
LTS^A,Ladenburg Thalmann Financial Services Inc,20.1,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/lts^a
LTSK,Ladenburg Thalmann Financial Services Inc,22.651,n/a,2018,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/ltsk
LTSL,Ladenburg Thalmann Financial Services Inc,21.0632,n/a,2017,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/ltsl
LTSF,Ladenburg Thalmann Financial Services Inc.,21,n/a,2018,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/ltsf
LEVB,"Level Brands, Inc.",2.88,$29.07M,2017,Consumer Non-Durables,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/levb
LGL,"LGL Group, Inc. (The)",5.99,$28.9M,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/lgl
LBY,"Libbey, Inc.",4.16,$92.13M,1993,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/lby
LLEX,"Lilis Energy, Inc.",1.25,$89.96M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/llex
LIQT,"LiqTech International, Inc.",1.17,$85.3M,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/liqt
MAG,MAG Silver Corporation,7.11,$608.19M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/mag
MJCO,Majesco,6.98,$255.93M,2015,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mjco
MHH,"Mastech Digital, Inc",6.33,$69.53M,n/a,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/mhh
MTNB,"Matinas Biopharma Holdings, Inc.",0.6,$67.43M,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mtnb
MNI,McClatchy Company (The),7.8399,$61.22M,1988,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/mni
IPB,"Merrill Lynch & Co., Inc. 6.0518% Index Plus Trust Certificate",25.9594,n/a,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/ipb
MXC,Mexco Energy Corporation,2.7,$5.51M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/mxc
CCA,MFS California Insured Municipal Trust,9.82,$27.36M,1999,n/a,n/a,https://www.nasdaq.com/symbol/cca
MICR,"Micron Solutions, Inc.",2.95,$8.42M,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/micr
MLSS,"Milestone Scientific, Inc.",0.3,$10.15M,2015,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/mlss
MYO,Myomo Inc.,1.5,$18.65M,2017,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/myo
NNVC,"NanoViricides, Inc.",0.3,$20.81M,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/nnvc
ATEST,NASDAQ TEST STOCK,25,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/atest
ATEST.A,NASDAQ TEST STOCK,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/atest.a
ATEST.B,NASDAQ TEST STOCK,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/atest.b
ATEST.C,NASDAQ TEST STOCK,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/atest.c
NHC,National HealthCare Corporation,74.49,$1.13B,n/a,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/nhc
NAVB,"Navidea Biopharmaceuticals, Inc.",0.109,$19.83M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/navb
NTIP,"Network-1 Technologies, Inc.",2.4,$57.01M,n/a,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/ntip
NBW,Neuberger Berman California Municipal Fund Inc,12,$66.61M,2002,n/a,n/a,https://www.nasdaq.com/symbol/nbw
NHS,Neuberger Berman High Yield Strategies Fund,9.19,$179.58M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nhs
NML,Neuberger Berman MLP Income Fund Inc.,6.23,$352.99M,2013,n/a,n/a,https://www.nasdaq.com/symbol/nml
NBH,Neuberger Berman Municipal Fund Inc.,12.63,$237.49M,2002,n/a,n/a,https://www.nasdaq.com/symbol/nbh
NBO,Neuberger Berman New York Municipal Fund Inc.,11.1,$56.35M,2002,n/a,n/a,https://www.nasdaq.com/symbol/nbo
NRO,"Neuberger Berman Real Estate Securities Income Fund, Inc.",3.96,$187.78M,2003,n/a,n/a,https://www.nasdaq.com/symbol/nro
UWN,"Nevada Gold & Casinos, Inc.",2.39,$42.4M,n/a,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/uwn
NSU,Nevsun Resources Ltd,4.38,$1.33B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/nsu
GBR,"New Concept Energy, Inc",1.4,$7.18M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/gbr
NEN,New England Realty Associates Limited Partnership,55.66,$207.7M,n/a,Consumer Services,Building operators,https://www.nasdaq.com/symbol/nen
NGD,New Gold Inc.,0.7291,$421.97M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/ngd
NXE,Nexgen Energy Ltd.,1.65,$577.85M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/nxe
HLTH,Nobilis Health Corp.,0.23,$18M,2015,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/hlth
NAK,"Northern Dynasty Minerals, Ltd.",0.53,$166.11M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/nak
NOG,"Northern Oil and Gas, Inc.",2.03,$782.93M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/nog
NBY,"NovaBay Pharmaceuticals, Inc.",0.9,$15.38M,2007,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/nby
NG,Novagold Resources Inc.,3.83,$1.24B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/ng
NRCG,NRC Group Holdings Corp.,8.51,$314.04M,2017,Basic Industries,Environmental Services,https://www.nasdaq.com/symbol/nrcg
NRCG.WS,NRC Group Holdings Corp.,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nrcg.ws
NTN,"NTN Buzztime, Inc.",2.12,$6.09M,n/a,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/ntn
NES,"Nuverra Environmental Solutions, Inc.",8,$97.86M,2017,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/nes
OCX,OncoCyte Corporation,1.47,$59.78M,2015,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/ocx
OGEN,Oragenics Inc.,0.97,$28.55M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ogen
TIS,Orchids Paper Products Company,1.03,$10.99M,2005,Basic Industries,Paper,https://www.nasdaq.com/symbol/tis
ORM,"Owens Realty Mortgage, Inc.",18.85,$159.9M,2013,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/orm
PCG^A,Pacific Gas & Electric Co.,17.9477,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pcg^a
PCG^B,Pacific Gas & Electric Co.,16.59,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pcg^b
PCG^C,Pacific Gas & Electric Co.,15.42,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pcg^c
PCG^D,Pacific Gas & Electric Co.,15.5377,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pcg^d
PCG^E,Pacific Gas & Electric Co.,15.0551,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pcg^e
PCG^G,Pacific Gas & Electric Co.,14.43,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pcg^g
PCG^H,Pacific Gas & Electric Co.,14.37,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pcg^h
PCG^I,Pacific Gas & Electric Co.,14.8001,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pcg^i
PTN,"Palatin Technologies, Inc.",0.6692,$135.89M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ptn
PZG,Paramount Gold Nevada Corp.,0.87,$22.16M,2015,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/pzg
PRK,Park National Corporation,81.33,$1.28B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/prk
PED,Pedevco Corp.,0.7,$10.63M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ped
PFNX,Pfenex Inc.,3.96,$124.58M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/pfnx
HNW,Pioneer Diversified High Income Trust,12.83,$106.91M,2007,n/a,n/a,https://www.nasdaq.com/symbol/hnw
PLAG,Planet Green Holdings Corp,2.1101,$9261.23,n/a,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/plag
PLG,Platinum Group Metals Ltd.,1.2,$34.95M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/plg
PLYM,"Plymouth Industrial REIT, Inc.",12.62,$60.85M,2017,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/plym
PLYM^A,"Plymouth Industrial REIT, Inc.",22.71,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/plym^a
PLM,Polymet Mining Corp.,0.8299,$266.14M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/plm
PW,Power REIT,5.34,$9.99M,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/pw
PW^A,Power REIT,25.5,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pw^a
PLX,"Protalix BioTherapeutics, Inc.",0.312,$46.29M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/plx
RLGT,"Radiant Logistics, Inc.",4.11,$203.28M,n/a,Transportation,Oil Refining/Marketing,https://www.nasdaq.com/symbol/rlgt
RFL,"Rafael Holdings, Inc.",7.95,$99.96M,2018,Finance,Real Estate,https://www.nasdaq.com/symbol/rfl
UTG,Reaves Utility Income Fund,28.1,$1.37B,2004,n/a,n/a,https://www.nasdaq.com/symbol/utg
REED,"Reeds, Inc.",2.12,$54.51M,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/reed
RHE,"Regional Health Properties, Inc.",0.0776,$1.57M,2017,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/rhe
RHE^A,"Regional Health Properties, Inc.",2,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/rhe^a
RCG,"RENN Fund, Inc.",1.47,$6.56M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/rcg
RVP,"Retractable Technologies, Inc.",0.6584,$21.51M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/rvp
RNN,"Rexahn Pharmaceuticals, Inc.",1.03,$38.65M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/rnn
REI,"Ring Energy, Inc.",4.27,$258.51M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/rei
RIF,RMR Real Estate Income Fund,15.11,$154.15M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/rif
SACH,Sachem Capital Corp.,4.04,$62.37M,2017,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/sach
SNMP,Sanchez Midstream Partners LP,1.64,$26.55M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/snmp
SAND          ,Sandstorm Gold Ltd,4.56,$832.8M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/sand
SEB,Seaboard Corporation,3552.14,$4.16B,1996,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/seb
SENS,"Senseonics Holdings, Inc.",2.6,$459.81M,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/sens
SVT,"Servotronics, Inc.",10.15,$26.22M,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/svt
SMTS,Sierra Metals Inc.,1.7636,$288.22M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/smts
SIF,"SIFCO Industries, Inc.",3.68,$20.94M,n/a,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/sif
SVM,Silvercorp Metals Inc.,1.98,$333.48M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/svm
SILV,SilverCrest Metals Inc.,2.445,$207.64M,2018,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/silv
XPL,Solitario Zinc Corp.,0.2502,$14.59M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/xpl
SCE^B,Southern California Edison Company,17.41,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sce^b
SCE^C,Southern California Edison Company,17.95,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sce^c
SCE^D,Southern California Edison Company,18.32,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sce^d
SCE^E,Southern California Edison Company,21.05,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sce^e
SGB,Southwest Georgia Financial Corporation,21.5482,$54.86M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/sgb
LOV,"Spark Networks, Inc.",8.6,$111.7M,2017,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/lov
SRCI,SRC Energy Inc.,4.33,$1.05B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/srci
SDI,Standard Diversified Inc.,11.5,$196.78M,n/a,Consumer Non-Durables,Tobacco,https://www.nasdaq.com/symbol/sdi
SSY,"SunLink Health Systems, Inc.",1.04,$7.33M,n/a,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/ssy
SDPI,"Superior Drilling Products, Inc.",1.05,$25.78M,2014,Energy,Metal Fabrications,https://www.nasdaq.com/symbol/sdpi
SYN,"Synthetic Biologics, Inc",0.572,$7.71M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/syn
TKAT,"Takung Art Co., Ltd.",0.6501,$7.3M,n/a,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/tkat
TALO.WS,"Talos Energy, Inc.",n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/talo.ws
TRX,Tanzanian Royalty Exploration Corporation,0.34,$42.56M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/trx
TGB,Taseko Mines Limited,0.4625,$105.64M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/tgb
TIK,Tel-Instrument Electronics Corp.,3.2565,$10.6M,n/a,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/tik
TGC,"Tengasco, Inc.",0.7521,$8M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/tgc
GLU,The Gabelli Global Utility and Income Trust,15.45,$63.52M,2004,n/a,n/a,https://www.nasdaq.com/symbol/glu
GLU^A,The Gabelli Global Utility and Income Trust,48.5,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/glu^a
GLU^B,The Gabelli Global Utility and Income Trust,51.27,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/glu^b
GGO,The Gabelli Go Anywhere Trust,15,$24.17M,2016,n/a,n/a,https://www.nasdaq.com/symbol/ggo
GGO^A,The Gabelli Go Anywhere Trust,42,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ggo^a
TDW.WS,Tidewater Inc.,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/tdw.ws
TMP,Tompkins Financial Corporation,71.07,$1.09B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/tmp
TAT,Transatlantic Petroleum Ltd,1.07,$54.15M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/tat
TRXC,"TransEnterix, Inc.",2.2,$475.46M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/trxc
TMQ,Trilogy Metals Inc.,1.61,$211.77M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/tmq
TPHS,Trinity Place Holdings Inc.,5.29,$167.41M,n/a,Consumer Services,Building operators,https://www.nasdaq.com/symbol/tphs
TRT,Trio-Tech International,2.8642,$10.33M,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/trt
UFAB,"Unique Fabricating, Inc.",4.9245,$48.13M,2015,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/ufab
UAMY,United States Antimony Corporation,0.52,$35.48M,n/a,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/uamy
UUU,"Universal Security Instruments, Inc.",1.05,$2.43M,n/a,Consumer Non-Durables,Electronic Components,https://www.nasdaq.com/symbol/uuu
UQM,UQM Technologies Inc.,0.9255,$50.21M,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/uqm
URG,Ur Energy Inc,0.6178,$98.32M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/urg
UEC,Uranium Energy Corp.,1.18,$209.34M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/uec
VHC,VirnetX Holding Corp,2.52,$168.24M,n/a,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/vhc
VGZ,Vista Gold Corporation,0.52,$52.05M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/vgz
VNRX,VolitionRX Limited,1.88,$66.43M,2015,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/vnrx
VISI,"Volt Information Sciences, Inc.",2.43,$51.46M,n/a,Technology,Professional Services,https://www.nasdaq.com/symbol/visi
EAD,Wells Fargo Income Opportunities Fund,6.95,$479.22M,2003,n/a,n/a,https://www.nasdaq.com/symbol/ead
ERC,Wells Fargo Multi-Sector Income Fund,10.51,$345.01M,2003,n/a,n/a,https://www.nasdaq.com/symbol/erc
ERH,Wells Fargo Utilities and High Income Fund,11.5,$106.39M,2004,n/a,n/a,https://www.nasdaq.com/symbol/erh
WRN,Western Copper and Gold Corporation,0.4029,$40.61M,2011,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/wrn
WYY,WidePoint Corporation,0.42,$35.18M,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/wyy
WTT,"Wireless Telecom Group,  Inc.",1.46,$30.74M,n/a,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/wtt
XTNT,"Xtant Medical Holdings, Inc.",3.45,$45.44M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/xtnt
YUMA,"Yuma Energy, Inc.",0.1155,$2.68M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/yuma
ZDGE,"Zedge, Inc.",2.73,$28.15M,2016,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/zdge
ZOM,Zomedica Pharmaceuticals Corp.,1.28,$124.85M,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/zom
